incident_month,incident_year,injury_severity,latitude,longitude,month_year,shark_behaviour_generic,shark_behaviour_specific,site_category_cleaned,state_names,victim_injury,location,provoked_unprovoked,victim_gender,victim_activity,shark_common_name,shark_scientific_name,no_sharks,reference,injury_location,data_source,shark_identification_method,shark_behaviour,victim_age
1,2021,nan,-33.0833,151.5833,2021-01-01,unknown,unknown,river,New South Wales,injured,lake macquarie,unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,,unknown,unknown,unknown,unknown,
1,2021,minor_lacerations,-33.8640,114.9864,2021-01-01,shark_not_seen_,shark_not_seen_,coastal,Western Australia,injured,"melaleuca beach, cowaramup bay, gracetown",unprovoked,female,swimming,wobbegong,Orectolobidae,1.0,https://www.abc.net.au/news/2021-01-30/possible-shark-attack-in-gracetown-off-wa-south-west-coast/13105958,foot,unknown,unknown,shark not seen ,46.0
1,2021,major_lacerations,-32.0117,115.7866,2021-01-01,unknown,unknown,river,Western Australia,injured,"swan river, point walter reserve, bicton",unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,https://www.abc.net.au/news/2021-01-14/reports-of-shark-attack-in-swan-river-in-bicton-perth/13057146,unknown,unknown,unknown,unknown,50.0
1,2021,nan,-38.0522,140.7018,2021-01-01,unknown,unknown,coastal,South Australia,fatal,port macdonnell,unprovoked,unknown,snorkeling,white shark,Carcharodon carcharias ,1.0,,unknown,unknown,unknown,unknown,
2,2021,major_lacerations,-31.034,115.3356,2021-02-01,unknown,unknown,coastal,Western Australia,injured,lancelin back beach,unprovoked,male,boarding,wobbegong,Orectolobidae,1.0,,unknown,unknown,unknown,unknown,32.0
3,2021,nan,-34.0557,151.1551,2021-03-01,miscellaneous,shark_got_caught_in_leg_rope_,coastal,New South Wales,uninjured,"cronulla beach, sydney",unprovoked,male,boarding,wobbegong,Orectolobidae,1.0,https://www.smh.com.au/national/nsw/cronulla-beaches-closed-after-suspected-shark-encounter-20210307-p578ho.html,unknown,unknown,bite analysis,shark got caught in leg rope ,28.0
3,2021,nan,-34.2763,115.052,2021-03-01,unknown,unknown,coastal,Western Australia,uninjured,"deepene beach, elephant rock, hamelin bay",provoked,male,spearfishing,wobbegong,Orectolobidae,1.0,,unknown,unknown,unknown,unknown,
3,2021,major_lacerations,-36.8875,149.9059,2021-03-01,unknown,unknown,coastal,New South Wales,injured,merimbula main beach,unprovoked,female,swimming,shark_not_known,shark_not_known,1.0,https://www.abc.net.au/news/2021-03-15/volunteer-lifesaver-on-the-road-to-recovery-after-shark-attack/13233302,"torso, pelvic region",unknown,bite analysis,unknown,63.0
3,2021,minor_lacerations,-23.325,113.791,2021-03-01,unknown,unknown,coastal,Western Australia,injured,"sandy point, warroora station, coral bay",provoked,male,spearfishing,bull shark,Carcharhinus leucas,1.0,https://www.perthnow.com.au/news/sharks/man-bitten-by-shark-at-tourist-hotspot-coral-bay-ng-b881832623z,calf,unknown,unknown,unknown,
3,2021,nan,-33.6397,115.0263,2021-03-01,unknown,unknown,coastal,Western Australia,uninjured,yallingup,unprovoked,male,boarding,blacktip reef shark,Carcharhinus melanopterus,1.0,https://www.news.com.au/national/western-australia/scary-shark-attack-at-popular-surfing-spot-keeps-west-australian-beach-closed/news-story/3d6a7cc40b539ce7c443f5e47ac94948,unknown,unknown,unknown,unknown,
4,2021,nan,-20.6564,116.7081,2021-04-01,unknown,unknown,coastal,Western Australia,injured,dampier boat ramp,unprovoked,male,swimming,blacktip reef shark,Carcharhinus melanopterus,1.0,Questionaire,foot,unknown,unknown,unknown,33.0
5,2021,minor_lacerations,-17.5804,122.1571,2021-05-01,unknown,unknown,coastal,Western Australia,injured,quondong beach,provoked,male,spearfishing,tiger shark,Galeocerdo cuvier ,1.0,,"arm, hand",unknown,unknown,unknown,48.0
5,2021,nan,-32.1521,152.5053,2021-05-01,unknown,unknown,coastal,New South Wales,fatal,tuncurry beach,unprovoked,male,boarding,white shark,Carcharodon carcharias ,1.0,,unknown,unknown,unknown,unknown,
